name,smiles,molecular_weight,melting_point_K,boiling_point_K,heat_of_fusion,heat_of_vaporization,critical_temperature,critical_pressure,flash_point,logP
trimethylgallium,[CH3].[CH3].[CH3].[Ga],114.82656,254.15,328.85,,231887.46055907648,510,4040000,,
decitabine,N=c1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,228.20528,471.65,470.65,182427.85618281923,566974.2059562759,1112.0354,5610963.8,,
nalmefene,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,339.42810000000003,462.15,957.98,127567.51724444734,,1195.5605,2579339.8,,
strontium carbonate,O=C([O-])[O-].[Sr+2],147.6289,1767.15,,270949.65823087486,,,,,
strontium sulfate,O=S(=O)([O-])[O-].[Sr+2],183.6826,1879.15,,195990.25710655228,,,,,
4-morpholineethanesulfonic acid,O=S(=O)(O)CCN1CCOCC1,195.23672,551.65,375.15,,160450.28065526523,527.32123,2229005,,
caps,O=S(=O)(O)CCCNC1CCCCC1,221.31706,586.4,,,,,,,
troclosene,O=c1nc(O)n(Cl)c(=O)n1Cl,197.96434,498.15,635.67,106312.0762052398,379081.8197789179,897.5398,6239252.9,,
6-bromoindole,Brc1ccc2cc[nH]c2c1,196.04394,367.15,544.56,116810.54767619954,,802.95021,5160853.5,,
phenformin,N=C(N)NC(=N)NCCc1ccccc1,205.2596,449.65,388.15,,581827.8257330708,1089.1542,2841412.8,,-0.83
fluoroboric acid,F[B-](F)(F)F.[H+],87.8125528,183.15,403.15,,495627.2876,632.37937,9415240.2,,
67785-98-2,C1COCCN1.O=C(O)CO,163.17172,489.28,675.69,186895.13109256924,526629.2768541825,894.36077,4775984.8,,
triclofos,O=P(O)(O)OCC(Cl)(Cl)Cl,229.383521,393.65,,,,,,,
cinchotoxin,C=C[C@H]1CNCC[C@H]1CCC(=O)c1ccnc2ccccc12,294.39078,332.15,852.64,148068.49589514997,,1106.1811,2108066.2,,
tetranitromethane,O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],196.0327,287.05,398.75,185560.8783636608,197781.89370215964,540,2680000,,
21050-13-5,[Cl-].c1ccc(P(=N[P+](c2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1,574.0306220000001,545.15,,,,,,,
l-alanosine,N[C@@H](CN(O)N=O)C(=O)O,149.10538,458.65,309.15,,265427.41382649296,847.58676,6103515.6,,
lithium hexafluorophosphate,F[P-](F)(F)(F)(F)F.[Li+],151.9051802,467.44,,,,,,,
phenothrin,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,350.45074,493.21,603.65,118267.69148782508,238732.0509219152,1100.8983,1451247.2,,
n-carbobenzoxy-l-phenylalanine vinyl ester,C=COC(=O)C(Cc1ccccc1)N=C(O)OCc1ccccc1,325.35846,477.29,850.53,129340.42040892376,,1078.464,1878905,,
ethyl 4-(phenylmethoxy)benzoate,CCOC(=O)c1ccc(OCc2ccccc2)cc1,256.29644,317.15,704.66,118792.1299,,933.56531,2227091.6,,
2-ethylhexyl acrylate,C=CC(=O)OCC(CC)CCCC,184.2753,183.15,489.15,129219.7055166916,246127.21851348583,655,2070000,355.15,
"trans-3,5-diethyl-1,2,4-trithiolane",CC[C@H]1SS[C@H](CC)S1,180.35448,414.39,490.98,95772.50312828382,236781.3203479192,735.54914,3607210.8,,
ricinoleic acid,CCCCCC[C@H](O)C/C=C/CCCCCCCC(=O)O,298.46076,264.87,852.85,178536.03267645638,288785.3083270737,1045.0812,1366675.7,,
tri-o-cresyl phosphate,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,368.362801,240.15,683.15,,307783.7919531406,1060,44900000,498.15,
rubixanthin,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,552.8720400000001,433.15,1276.26,153485.78669306551,136606.1147684076,1586.8705,583162.43,,
probucol,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,516.84162,398.15,1264.81,87701.91533723619,,1550.4997,998280.46,,
ccris 3767,O=C/C(=C(/Cl)C(=O)O)C(Cl)Cl,217.43452,390.47,623.94,127799.3945,316803.13615106704,854.41667,4026128,,
bentazepam,O=C1CNC(c2ccccc2)=c2c3c(sc2=N1)CCCC3,296.38674,541.15,470.65,115170.46950211066,343888.2227402252,1211.0199,3028936.3,,
berberine,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,336.36122,418.15,885.3,146851.05494622714,,1126.7307,2231301.6,,
cyclooctane,C1CCCCCCC1,112.21264,287.95,424.25,21477.08136979934,312713.9198943661,647.2,3560000,303.15,4.45
ambroxol,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,378.10282,619.73,900.74,106214.49477684405,,1143.7517,3427869.4,,
6-methylquinoxaline,Cc1ccc2nccnc2c1,144.17322,491.65,516.9,138812.1871731796,389662.7070399503,826.63733,4333955.5,,
plasmoquine,CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,315.45306,551.95,461.15,146364.08979516636,282053.55405345635,1040.8899,1608997.8,,
protoporphyrin ix,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C,562.65816,1431.66,1632.32,185967.26651933743,,2063.6633,1132145.9,,
voglibose,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,267.27624000000003,680.18,1124.5,155902.37276609396,590684.9671197712,1448.9429,5138680.1,,
2-(2-{2-[2-(4-methylphenoxy)ethoxy]ethoxy}ethoxy)ethanol,Cc1ccc(OCCOCCOCCOCCO)cc1,284.34806000000003,447.49,756.32,130466.86515111092,,941.05234,1861114.7,,
thiomorpholine,C1CSCCN1,103.18596,445.65,448.15,98143.19700083228,467342.1131624424,649.43701,5527839.6,,
ethyl chloroformate,CCOC(=O)Cl,108.5236,192.35,364.15,111422.76887239271,379812.2967212159,508,4500000,287.571359,
"1,2,4-benzenetricarboxylic acid",O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,210.14034,498.15,878.69,203473.54534593408,,860,3510000,,
buformin,CCCCNC(=N)NC(=N)N,157.2168,448.15,398.65,,276732.07634304214,947.37053,3009031,,-1.2
alpha-naphtholphthalein,O=C1OC(c2ccc(O)c3ccccc23)(c2ccc(O)c3ccccc23)c2ccccc21,418.44012,519.65,1191.08,132018.88958448824,,1479.3411,2402922,,
lampit,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,287.29232,454.15,403.75,,117301.49716866108,522.03813,1334714.9,,
68527-48-0,CC(C)c1cc(C(C)(C)OOC(C)(C)C)cc(C(C)(C)OOC(C)(C)C)c1,380.5613,484.03,838.8,52979.63823436592,,1050.505,1034566.8,,
azidotrimethylsilane,C[Si](C)(C)N=[N+]=[N-],115.20916,178.15,368.65,,302936.27109260275,521.48542,3217672.5,,
ac1o5ahl,C=CC(=O)OCCC(=O)O.C=CC(=O)OCCO.C=CC=C.C=Cc1ccccc1,418.4801,574.45,1094.25,133444.81613343145,,1340.2489,1142888,,
cesium bromide,[Br-].[Cs+],212.80945,909.15,1573.15,,923908.3009388676,2562.13,21127000,,
magnesium bromide,[Br-].[Br-].[Mg+2],184.113,984.15,,213455.8667774681,,,,,
"(1r,2s)-(-)-trans-2-(1-methyl-1-phenylethyl)cyclohexanol",CC(C)(c1ccccc1)[C@@H]1CCCC[C@H]1O,218.33458,351.61,573.15,83481.96607,315819.9209995891,894.89278,2393526.4,,
2-vinylaniline,C=Cc1ccccc1N,119.16376,300.36,483.51,117863.01472863898,,713.16737,4051796.5,,
carbazole,c1ccc2c(c1)[nH]c1ccccc12,167.20656,519.35,627.75,144133.1009979513,345831.61158963485,900.05,3240373,,3.72
(r)-mandelonitrile,N#C[C@H](O)c1ccccc1,133.14728,317.15,443.15,94541.92380047118,481499.46954143903,821.29161,4005768.3,,
15-keto-pge2,CCCCCC(=O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,350.4492,646.99,1030.84,169431.11868995562,,1262.0379,1433716.2,,
perfluoro-2-butyltetrahydrofuran,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,416.0594512,319.39,378.35,38540.165242615694,77453.18097001714,500.2,1607000,,
"2,4,5-trihydroxybenzaldehyde",O=Cc1cc(O)c(O)cc1O,154.12014,502.65,,,,,,,
n-phenethyl-2-norbornanamine,c1ccc(CCNC2CC3CCC2C3)cc1,215.33394,366.01,632.73,134614.1718300422,,859.04863,2351920.7,,
3-hydroxypiperidine,OC1CCCNC1,101.14694,334.65,474.28,140577.65860242536,,678.49274,5281571.1,,
58574-03-1,O=C(O)c1ccc(-c2ccc(O)cc2)cc1,214.2167,567.15,781.51,154259.6819015511,,1040.6775,4000702.5,,
decabromodiphenyl oxide,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,959.1678,578.65,803.15,67835.88856923679,139719.55376741232,1594.9107,7121365.9,,
p-(isobornyloxy)aniline,CC1(C)C2CCC1(C)C(Oc1ccc(N)cc1)C2,245.35992,486.19,701.18,85380.69298359733,,945.96022,2291517.2,,
fipexide,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,388.84474,666.56,945.09,142686.77004606003,,1188.5415,2098420.5,,
"1-amino-4-(cyclohexylamino)-9,10-anthraquinone",Nc1ccc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O,320.385,723.52,1015.51,107361.45574855251,,1291.5272,2372586.8,,
"barbituric acid, 5-(1-butenyl)-5-ethyl-",CC/C=C/C1(CC)C(O)=NC(=O)N=C1O,210.22976,643.38,752.91,119416.96551430206,386217.9040859539,1016.0507,3376278.5,,
53112-33-7,CN1CCc2ccccc2C1.Cl,183.67786,309.6,522.04,97496.78050473802,,751.5843,3038963.2,,
nicocodine,COc1ccc2c3c1O[C@H]1[C@@H](OC(=O)c4cccnc4)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,404.45836,741.48,470.65,141327.28026687345,202471.45370420965,1262.0686,1759492.8,,
nicodicodine,COc1ccc2c3c1O[C@H]1[C@@H](OC(=O)c4cccnc4)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,406.47424,740.72,1009.01,137620.0371,,1261.6158,1707533.6,,
acetyldihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,343.4168,393.15,837.11,135112.78423187215,,1063.3719,1783350.1,,
"n-[(1,1-dimethylethoxy)carbonyl]-o-(phenylmethyl)-l-tyrosine",CC(C)(C)OC(O)=N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,371.4269000000001,381.65,1093.84,,,1341.6143,1583488.9,,
fmoc-thr(tbu)-oh,C[C@@H](OC(C)(C)C)[C@H](N=C(O)OCC1c2ccccc2-c2ccccc21)C(=O)O,397.46418000000006,404.65,1059.57,129078.29832615356,,1302.8008,1491886.9,,
triphenylantimony,[Sb].[c]1ccccc1.[c]1ccccc1.[c]1ccccc1,353.0717,328.15,,,,,,,
chebi:75008,CC(C)[C@H](N)C(O)=N[C@@H](C)C(=O)O,188.22424,481.37,703.4,148466.53119704456,440990.5090822728,915.45363,3302946.2,,
"1,3-dicyclopentylcyclopentane",C1CCC(C2CCC(C3CCCC3)C2)C1,206.36694,287.27,583.97,84713.18128766168,233803.70679893263,820.15429,2161320.5,,
1-(1-adamantyl)pyrazole,c1cnn(C23CC4CC(CC(C4)C2)C3)c1,202.29542,430.42,597.24,109102.8160696866,277432.21103373746,845.0138,3156167.2,,
atomic hydrogen,[H],1.00794,14.01,20.28,,1576543.9055841754,36.765882,2284947.3,,
formylurea,N=C(O)N=CO,88.06536,442.15,,,,682.7601,6745290.4,,
methyl propyl sulfide,CCCSC,90.1872,160.15,368.65,113608.1395142548,357728.3871670076,574.1,3970000,,
acetone-d6,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],64.116112,177.5,328.65,,391889.8111961872,584.99046,6326189.1,,
methanol,CO,32.04186,175.15,337.6323833,100337.49601302797,1101081.237210215,513.38,8215850,282.15,-0.74
3-pyrrolidino-n-methyl-4-methoxybiphenyl,COc1ccc(-c2ccccc2)cc1CN1CCCC1,267.36544,443.86,725.3,107915.967,,963.47323,2173428.7,,
"1-(1,3-benzodioxol-5-ylmethyl)-4-phenylpiperazine",c1ccc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)cc1,296.3636,529.42,780.63,147480.9996909202,,1026.5403,2537926.1,,
em 136,O=C1c2ccccc2C(=O)N1C1CCCN=C1O,244.24598,650.45,819.84,103248.37280842864,,1097.1931,3547305.6,,
narcobarbital,C=C(Br)CC1(C(C)C)C(=O)N(C)C(=O)N=C1O,303.1524,388.15,793.53,73217.29928577178,287233.9860193965,1051.5125,3096733.6,,2.11
n-methylhydroxylamine,CNO,47.0565,360.65,364.83,160084.1541551114,873163.3848057139,533.59,6841438,,
pentabromodiphenyl ether,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,564.6875,268.15,689.15,71873.38129496403,147361.55496434605,1207.2131,4723609.8,,
sulfamide,NS(N)(=O)=O,96.10896,365.15,,,,,,,
ethyl 6-amino-5-methoxy-1h-indole-2-carboxylate,CCOC(=O)c1cc2cc(OC)c(N)cc2[nH]1,234.25116,438.15,733.05,162009.87008986424,,963.79147,2986055.1,,
hebaral,CCCCCCC1(CC)C([O-])=NC(=O)N=C1O.[Na+],262.28063,399.15,,,,,,,
5-acetylthiophene-2-carbonitrile,CC(=O)c1ccc(C#N)s1,151.1857,351.15,591.77,100393.09273297671,,839.01277,3891642.7,,
"n,n-bis(2-hydroxyethyl)-m-fluoroaniline",OCCN(CCO)c1cccc(F)c1,199.2220632,396.1,656.13,148502.62829724577,,832.50041,3360638.5,,
calcium chlorate,[Ca+2].[O-][Cl+2]([O-])[O-].[O-][Cl+2]([O-])[O-],206.9804,613.15,,,,,,,
cobalt nitrate,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Co+2],182.943,375.65,,,,,,,
boc-glu-oh,CC(C)(C)OC(O)=N[C@@H](CCC(=O)O)C(=O)O,247.24508,606.07,824.14,163695.87617274324,404035.5318253277,1035.0735,2616414.1,,
"n,n-dimethyl-2,2-diphenylcyclopropanemethanamine",CN(C)CC1CC1(c1ccccc1)c1ccccc1,251.36604,505.15,679.55,104974.40306574428,,921.34377,2175456.7,,
fluproquazone,Cc1ccc2c(-c3ccc(F)cc3)nc(=O)n(C(C)C)c2c1,296.3387832,446.15,828.08,116130.59765037196,,1075.038,2167362,,
n-[3-(dibenzylamino)phenyl]acetamide,CC(O)=Nc1cccc(N(Cc2ccccc2)Cc2ccccc2)c1,330.42288,416.15,904.46,133734.68568520437,,1150.0385,1927048.1,,
"naphthalene-2,7-disulfonic acid",O=S(=O)(O)c1ccc2ccc(S(=O)(=O)O)cc2c1,288.29692,472.15,,,,,,,
5-(2-bromoallyl)-5-propylbarbituric acid,C=C(Br)CC1(CCC)C(O)=NC(=O)N=C1O,289.12582,692.54,811.47,95453.25284,319579.6490539848,1083.1063,3642126.1,,
2-aminoethyl dihydrogen phosphate,NCCOP(=O)(O)O,141.062981,515.15,,,,,,,
"methyl 3,5-dichloro-2-hydroxybenzoate",COC(=O)c1cc(Cl)cc(Cl)c1O,221.03744,421.65,632.98,127964.74660582388,,872.13352,3881949.9,,
benzotrichloride,ClC(Cl)(Cl)c1ccccc1,195.4736,268.15,494.15,67037.18558414026,202447.3448,737,3340000,,
rhoeadine,CO[C@H]1O[C@@H]2c3cc4c(cc3CCN(C)[C@@H]2c2ccc3c(c21)OCO3)OCO4,383.39454,530.15,964.56,186405.8888266901,,1213.3419,2117778.6,,
2-ethoxy-n-methylethanamine,CCOCCNC,103.16282,221,388.15,145333.36719566217,352883.6108993253,557.5325,3452080.3,,
2-(hexylamino)ethanol,CCCCCCNCCO,145.24256,293.4,504.15,176690.63392988942,341153.52708905947,688.28581,2826327,,
haloprogin,Clc1cc(Cl)c(OCC#CI)cc1Cl,361.39093,386.65,683.99,91997.32821186188,,967.02805,3134996.7,,
dichlorosilane,Cl[SiH2]Cl,101.00738,151.15,281.45,,209483.1966714392,451.5,4599000,,
carbon,[C],12.0107,3823.15,4273.15,,35846152.06868994,7020.5,796719000,,
hexa[trifluoromethyl]benzene,FC(F)(F)c1c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F,486.0996576,339.16,493.22,61485.33440151924,,622.55494,1266448,,
"3,5-diiodothyronine",NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(=O)O,525.0769600000001,524.15,1118.02,93550.09597,,1409.9202,3089852,,
"cholesterol, nonanoate",CCCCCCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1,526.87628,350.15,1119.54,113516.21295230828,138697.68175822808,1373.8726,626251.88,,
"2,2-dimethylvaleronitrile",CCCC(C)(C)C#N,111.18482,236.06,458.61,71754.39956641562,358249.6032,657.95718,2781783.5,,
barium chlorate,[Ba+2].[O-][Cl+2]([O-])[O-].[O-][Cl+2]([O-])[O-],304.2294,687.15,,,,,,,
3-bromo-5-methylphenol,Cc1cc(O)cc(Br)c1,187.03388,329.65,538.2,99479.30289,,786.15102,5438518.6,,
"1,3,5-trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,181.44702,337.15,482.15,99753.63607514744,234244.4171028357,718,3720000,371.5698762,4.02
3-(2'-methylpiperidino)propyl p-isobutoxybenzoate,CC(C)COc1ccc(C(=O)OCCCN2CCCCC2C)cc1,333.46504000000004,447.03,796.78,120546.36971839685,,1004.1862,1426146.2,,
haloxazolam,OC1=Nc2ccc(Br)cc2C2(c3ccccc3F)OCCN2C1,377.2076632,458.15,477.15,111257.01859813118,245739.48446634063,1176.9023,3096733.6,,
"n-(2,6-diethylphenyl)pyrrolidine",CCc1cccc(CC)c1N1CCCC1,203.32324,350.13,584.68,114418.79442802504,,799.30679,2322543.2,,
fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,253.36046,313.65,428.15,131847.72398976542,260406.9746164888,897.179,2324783.4,,3.28
mexazolam,CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3N=C(O)CN12,363.23784,446.65,928.35,125694.5036,,1204.0696,2441063,,
menatetrenone,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,444.64810000000006,308.15,1117.14,134249.9833014017,,1368.39,872220.1,,
copper aspirinate,CC(=O)Oc1ccccc1C(=O)[O-].CC(=O)Oc1ccccc1C(=O)[O-].CC(=O)Oc1ccccc1C(=O)[O-].CC(=O)Oc1ccccc1C(=O)[O-].[Cu+2].[Cu+2],843.68992,528.15,,,,,,,
thymol blue,Cc1cc(O)c(C(C)C)cc1C1(c2cc(C(C)C)c(O)cc2C)OS(=O)(=O)c2ccccc21,466.5891,496.15,,,,,,,
cholesteryl oleyl carbonate,CCCCCCCCC=CCCCCCCCCOC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1,681.1256000000001,293.15,,,,,,,
cholesteryl benzoate,CC(C)CCCC(C)C1CCC2C3CC=C4CC(OC(=O)c5ccccc5)CCC4(C)C3CCC12C,490.7596,422.15,1100.46,99172.79254445556,,1350.9565,829068.54,,
3-chlorocholestene,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](Cl)CC[C@]4(C)[C@H]3CC[C@]12C,405.0992,368.15,892.83,89674.33162050185,174780.9227482617,1119.9879,992627.16,,
ebselen,O=c1c2ccccc2[se]n1-c1ccccc1,274.17666,454.65,,,,,,,
49763-60-2,CCCCCc1ccc(C=Nc2ccc(C#N)cc2)cc1,276.3755,319.55,876.4,,,1118.3104,1550003.1,,
triolein,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,885.4320600000001,241.15,1690.46,173447.52571981636,,1640,470000,,
difluoro,CP(=O)(F)F,100.0044874,235.95,371.15,,364357.69701718783,571.87611,6121449.8,,
2-hydroxy-5-sulfobenzoic acid,O=C(O)c1cc(S(=O)(=O)O)ccc1O,218.18394,393.15,,,,,,,
5-nitro-m-xylene,Cc1cc(C)cc([N+](=O)[O-])c1,151.16255999999998,347.15,547.15,139584.82841253813,332834.4796409763,787.7,3313000,,
2-(methoxymethyl)-1h-imidazole-5-carboxaldehyde,COCc1ncc(C=O)[nH]1,140.13992,377.4,,,,,,,
tocopherols,Cc1c(O)cc2c(c1C)OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2,416.67952,270.15,999.36,129787.99629989012,,1224.5738,943259.54,,
epoxycholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4O[C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C,402.65294,413.65,964.16,100513.36021537556,215640.4761933043,1188.1114,1123811.6,,
amodiaquine,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,355.86118,481.15,978.84,153790.3066583436,,1228.9266,2159312.3,,
acibenzolar-s-methyl,CSC(=O)c1cccc2nnsc12,210.27604,406.05,540.15,131669.78035157977,369063.4400743872,1001.7185,5029928.1,,3.1
53213-82-4,CCCCCCN1C(=CC=Cc2[o+]c3ccccc3n2CCCCCC)Oc2ccccc21.[I-],572.52075,723.82,1128.7,143172.10336917918,,1382.2262,1041926.7,,
monofluoroamine,NF,35.0209832,173.61,271.4,115159.53098655438,716297.9924185666,439.93605,6875517.4,,
n-cyclohexyltaurine,O=S(=O)(O)CCNC1CCCCC1,207.29048,593.15,,,,,,,
cystamine,NCCSSCCN,152.28148,408.65,573.74,162659.3069623437,404058.83950835327,813.91258,4730109.4,,
tetrahydrofolic acid,N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,445.42922,1407.51,1498.96,210738.3076485193,,1847.0335,2881205.9,,
dihydrofolic acid,N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)=N2,443.41334,1437.44,1535.15,,,,,,
"2,5-dimethoxybenzenesulfonamide",COc1ccc(OC)c(S(N)(=O)=O)c1,217.24224,321.15,,,,,,,
2-(4-nonylbenzoyl)benzoic acid,CCCCCCCCCc1ccc(C(=O)c2ccccc2C(=O)O)cc1,352.46662000000003,637.38,988.54,154261.41630092516,,1219.169,1432631.1,,
phenylboronic acid,OB(O)c1ccccc1,121.92958,491.15,,,,,,,1.58
allopregnan-20beta-ol-3-one,C[C@@H](O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,318.49346,468.15,874.42,71831.93023806516,270105.11175004457,1106.0282,1648432.5,,
4'-chlorodiazepam,CN1C(=O)CN=C(c2ccc(Cl)cc2)c2cc(Cl)ccc21,319.18528,428.15,862.62,112696.29977923796,,1136.5006,2581961.8,,
sterigmatocystin,COc1cc2c(c3oc4cccc(O)c4c(=O)c13)[C@@H]1C=CO[C@@H]1O2,324.28428,519.15,961.19,171414.4145,,1226.3909,3138510.3,,
"trans-4-butylcyclohexanecarboxylic acid, 4-cyanophenyl ester",CCCCC1CCC(C(=O)Oc2ccc(C#N)cc2)CC1,285.38072,442.02,818.28,121973.90209121346,,1047.2147,1628536.1,,
"3,5-diiodo-l-tyrosine",N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)O,432.9816,486.15,926.66,89474.93380781077,,1214.9676,4316887.1,,
3-iodo-l-tyrosine,N[C@@H](Cc1ccc(O)c(I)c1)C(=O)O,307.08507000000003,478.15,828.54,113076.15834270288,,1095.1759,4534684.7,,
proge,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,428.6041,393.15,1041.1,86991.70166594301,217781.81326644216,1285.7852,1132145.9,,
dioscorine,CC1=CC(=O)O[C@@]2(C1)C[C@H]1CC[C@@H]2CN1C,221.29546,307.15,596.57,106897.80983306211,,813.0459,2545614.9,,
tetraphenylphosphonium chloride,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,374.842361,539.15,,,,,,,
n-boc-d-phenylalaninol,CC(C)(C)OC(O)=N[C@@H](CO)Cc1ccccc1,251.32144,368.15,743.5,114100.89007925468,,944.58403,2280587,,
beryllium chloride,[Be+2].[Cl-].[Cl-],79.918182,688.15,755.15,108360.82332303304,986167.9461025104,1238.03,10209000,,
"4-methyl-1,2,3-thiadiazole-5-carboxylic acid",Cc1nnsc1C(=O)O,144.15176,449.15,620.09,171499.8138073375,,885.86942,6278867.1,,
fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.3261296,431.15,713.63,103673.75055404952,,924.1508,1865941.4,,4.05
31215-06-2,CCCCCCCCCc1cc(O)cc2ccccc12,270.40914,487.25,765.58,153175.29577587504,,979.11273,1838835.6,,
indium bromide (inbr),[Br-].[In+],194.722,558.15,929.15,124793.29505654216,472468.4421893777,,,,
piminodine,CCOC(=O)C1(c2ccccc2)CCN(CCCNc2ccccc2)CC1,366.4965,564.07,915.55,118784.2175846154,,1149.8793,1570961.3,,
ag-g-64177,CC(C)c1ccccc1C(C)(C)OOC(C)(C)c1ccccc1C(C)C,354.52556000000004,457.42,849.54,72553.30194,,1076.8886,1214049,,
lithium bis(trimethylsilyl)amide,C[Si](C)(C)[N-][Si](C)(C)C.[Li+],167.32582,343.65,388.15,,,,,,
115-02-6,N#[N+]C=C(O)OCC(N)C(=O)[O-],173.12678,427.15,,,,,,,-2
(r)-2-amino-3-(benzyloxy)propan-1-ol,N[C@H](CO)COCc1ccccc1,181.2316,380.19,580.15,124961.65127935748,321293.11450087733,844.73093,3431886.8,,
hypoiodous acid,OI,143.91181,208.64,384.92,29531.97517285065,285797.9590439193,587.19464,7587806.1,,
di(tetrahydrofurfuryl) phthalate,O=C(OCC1CCCO1)c1ccccc1C(=O)OCC1CCCO1,334.36368,491.16,844,145332.77059278687,,1077.5193,1927048.1,,
(+)-quisqualic acid,NC(Cn1oc(=O)nc1O)C(=O)O,189.12618,473.65,725.77,191284.9929079094,520114.91836929554,954.39857,5544316,,
1-methyl-n-phenyl-4-piperidinamine,CN1CCC(Nc2ccccc2)CC1,190.28472,355.15,578.73,120514.14322705472,,806.14741,2928168.5,,
triethylaluminum,[Al].[CH2]C.[CH2]C.[CH2]C,114.164838,225.01,466.15,,504660.1991355147,678.15,8930000,,
"methyl 1-ethyl-7-methoxy-1,2,3,4-tetrahydrophenanthrene-2-carboxylate",CCC1c2ccc3cc(OC)ccc3c2CCC1C(=O)OC,298.37618,475.31,781.9,125754.0062,,1006.2985,1734665.3,,
cccp,N#CC(C#N)=NNc1cccc(Cl)c1,204.6158,449.15,805.5,,,1064.1697,2657030.5,,3.38
indeloxazine hydrochloride,C1=Cc2cccc(OCC3CNCCO3)c2C1.Cl,267.75122,428.65,722.73,136962.96136391087,,976.85293,2574107.9,,
